station,lat,lon,dyear,dtemp
727125-14623,46.95,-67.883,11,0.33622222222221865
722560-13959,31.619,-97.228,44,1.1599871794871603
723446-13971,36.267,-93.157,34,0.06122222222221296
722230-13894,30.688,-88.246,13,0.27372222222221865
723417-93988,34.175,-91.935,9,0.4982777777777869
727846-24160,46.095,-118.287,43,0.6869761904762157
724455-14938,40.097,-92.543,9,-0.668777777777791
703620-25335,59.456,-135.324,42,0.3312588932616052
726430-14920,43.879,-91.253,38,1.2084444444444244
722030-12844,26.685,-80.099,43,0.2130555555555418
724466-03929,38.844,-94.56,13,0.831888888888912
723676-23048,35.182,-103.603,35,0.2729094889784136
724088-13707,39.133,-75.467,38,0.056722222222177265
701740-26533,66.54,-151.31,41,2.5354999999999848
727435-99999,45.865,-84.637,17,-0.25399999999996226
725280-14733,42.941,-78.736,44,0.7989444444444445
727640-24011,46.783,-100.757,49,0.30072222222219125
723096-93727,34.7,-77.383,13,-0.3849761904762232
722640-93035,30.371,-104.017,45,0.6803997802963409
726557-14910,45.868,-95.394,13,-0.8587854406130191
726055-99999,43.083,-70.817,20,0.4073333333333409
723347-03809,36.0,-89.409,39,-0.0701904761904899
725470-94908,42.398,-90.704,13,0.10805555555553781
722595-13911,32.767,-97.45,43,0.12399999999999523
726880-24155,45.698,-118.855,44,0.26566666666664673
724175-99999,39.283,-80.217,3,0.18997530864197643
723306-13825,33.65,-88.45,39,-0.04942337164747812
723815-23161,34.854,-116.786,37,1.0136609195402144
723526-99999,35.333,-99.2,4,0.20788888888885992
722120-12833,29.633,-83.105,6,0.4476391304348226
722317-13970,30.537,-91.147,39,0.22822222222222877
724396-93989,39.937,-91.192,8,-0.29611111111111654
725250-14852,41.254,-80.674,38,1.7086666666666446
726480-99999,45.723,-87.094,2,0.39777011494254566
724120-03872,37.784,-81.123,13,0.675500000000028
726940-24232,44.905,-123.001,13,-0.20127777777776146
747750-13846,30.067,-85.583,39,-0.9968333333333419
724461-13988,39.121,-94.597,3,0.1587777777777717
727720-24144,46.606,-111.964,13,0.1554444444444414
725350-14848,41.707,-86.316,13,0.3087777777777774
723170-13723,36.097,-79.943,40,1.4892777777777866
701170-99999,65.567,-167.917,22,0.9881575606173243
724080-13739,39.868,-75.231,13,0.6703333333333319
724795-99999,39.333,-112.583,10,0.20829108011409403
992130-99999,47.3,-90.0,1,-0.07922222222221365
725985-24267,42.074,-124.29,3,0.13895402298850001
725905-23275,39.126,-123.201,9,-0.7331283524904251
724640-93058,38.29,-104.498,43,3.2989080459769866
703260-25503,58.683,-156.656,44,2.302444444444454
723240-13882,35.031,-85.201,13,0.9363888888888852
724090-14780,40.033,-74.35,9,0.3360404287070935
727415-99999,45.633,-89.467,3,0.1368888888888904
726985-99999,45.55,-122.4,28,0.6104224664224631
